year,round,date,constructorId,constructorYearId,driverId,mapPosition,mapPoints,status,constructorScore,driverScore,expected,actual,driverName,constructorName,startDriScore,driScoreChange,startConScore,conScoreChange
1980,1,1980-01-13,1,188,117,6,8.0,finished,1536.0195566211007,1502.4918852983612,6.249614773475228,7,Alain Prost,McLaren,1500.0,2.4918852983612396,1538.709548814115,-2.6899921930141772
1980,2,1980-01-27,1,188,117,5,10.0,finished,1541.6221850520571,1513.0364739619397,9.972428853884022,15,Alain Prost,McLaren,1502.4918852983612,10.544588663578452,1536.0195566211007,5.602628430956429
1980,3,1980-03-01,1,188,117,14,0.0,driver retirement,1538.4377658611284,1502.6828642834707,8.157064398341786,4,Alain Prost,McLaren,1513.0364739619397,-10.353609678468956,1541.6221850520571,-3.184419190928793
1980,5,1980-05-04,1,188,117,21,0.0,constructor retirement,1536.2189011803162,1502.6828642834707,0.0,0,Alain Prost,McLaren,1502.6828642834707,0.0,1546.4875055673567,-10.268604387040568
1980,6,1980-05-18,1,188,117,16,0.0,driver retirement,1536.2189011803162,1486.7492013541844,10.396724452061678,2,Alain Prost,McLaren,1502.6828642834707,-15.933662929286356,1536.2189011803162,0.0
1980,7,1980-06-29,1,188,117,15,0.0,constructor retirement,1538.8064583678438,1486.7492013541844,0.0,0,Alain Prost,McLaren,1486.7492013541844,0.0,1536.2189011803162,2.5875571875276364
1980,8,1980-07-13,1,188,117,6,8.0,finished,1546.2969315767552,1494.5169970386928,7.076089774200737,10,Alain Prost,McLaren,1486.7492013541844,7.767795684508428,1538.8064583678438,7.490473208911453
1980,9,1980-08-10,1,188,117,11,0.0,finished,1537.6295813458626,1490.5454776275194,7.594599609626543,6,Alain Prost,McLaren,1494.5169970386928,-3.9715194111734036,1546.2969315767552,-8.66735023089268
1980,10,1980-08-17,1,188,117,7,6.0,finished,1533.4806347795702,1497.7894015257768,7.909720351720492,11,Alain Prost,McLaren,1490.5454776275194,7.243923898257435,1537.6295813458626,-4.148946566292352
1980,11,1980-08-31,1,188,117,6,8.0,finished,1535.0759600253969,1507.7341220161584,8.507996690613405,13,Alain Prost,McLaren,1497.7894015257768,9.944720490381542,1533.4806347795702,1.5953252458266434
1980,12,1980-09-14,1,188,117,7,6.0,finished,1530.6589840239064,1514.6768017228242,8.86401038133583,12,Alain Prost,McLaren,1507.7341220161584,6.9426797066657855,1535.0759600253969,-4.416976001490411
1980,13,1980-09-28,1,188,117,18,0.0,constructor retirement,1531.8936886759543,1514.6768017228242,0.0,0,Alain Prost,McLaren,1514.6768017228242,0.0,1530.6589840239064,1.234704652047867
1980,14,1980-10-05,1,188,117,18,0.0,misc retirement,1521.3211807950795,1514.6768017228242,0.0,0,Alain Prost,McLaren,1514.6768017228242,0.0,1531.8936886759543,-10.57250788087481
1981,1,1981-03-15,4,4,117,18,0.0,driver retirement,1520.642736270255,1502.681238012264,10.32142424323494,4,Alain Prost,Renault,1514.6768017228242,-11.99556371056019,1520.8368940749012,-0.19415780464623822
1981,2,1981-03-29,4,4,117,15,0.0,driver retirement,1520.642736270255,1493.2346854993343,11.68930957773566,6,Alain Prost,Renault,1502.681238012264,-9.446552512929657,1520.642736270255,0.0
