,Driver name,Races as top ranked
1,Lewis Hamilton,134
2,Alain Prost,128
3,Michael Schumacher,119
4,Emerson Fittipaldi,106
5,Sebastian Vettel,98
6,Max Verstappen,48
7,Jim Clark,44
8,Jacques Laffite,40
9,Jackie Stewart,40
10,Mika Häkkinen,37
