driverRef,count
hamilton,160
michael_schumacher,136
senna,83
button,68
prost,55
mclaren,47
berger,43
alonso,33
emerson_fittipaldi,32
alesi,32
barrichello,32
fangio,31
stewart,30
jones,29
piquet,29
hulme,23
gurney,23
vettel,23
lauda,20
keke_rosberg,20
ascari,17
peterson,17
