year,round,date,constructorId,driverId,time,milliseconds,status,estPosition,estPoints,win,score
1987,4,1987-05-31,team_lotus,senna,1:57:54.085,7074085.0,finished,1,25,1.0,1571.4211718702247
1987,4,1987-05-31,ferrari,berger,\N,,+1 lap,4,12,0.0,1523.1693434465597
1987,4,1987-05-31,mclaren,prost,\N,,engine,9,2,1.0,1632.4092834322937
1987,5,1987-06-21,team_lotus,senna,1:50:16.358,6616358.0,finished,1,25,1.0,1588.3353203450222
1987,5,1987-06-21,mclaren,prost,+45.327,6661685.0,finished,3,15,1.0,1645.939793954585
1987,5,1987-06-21,ferrari,berger,+1:02.601,6678959.0,finished,4,12,1.0,1545.4471900267072
1987,6,1987-07-05,mclaren,prost,+55.255,5879094.0,finished,3,15,1.0,1658.5511215632655
1987,6,1987-07-05,team_lotus,senna,\N,,+1 lap,4,12,1.0,1603.5314968798027
1987,6,1987-07-05,ferrari,berger,\N,,suspension,10,1,1.0,1565.2504139005218
1987,7,1987-07-12,team_lotus,senna,\N,,+1 lap,3,15,1.0,1615.5236716944528
1987,7,1987-07-12,mclaren,prost,\N,,engine,12,0,1.0,1668.9568236311425
1987,7,1987-07-12,ferrari,berger,\N,,accident,22,0,0.0,1548.88477866122
1987,8,1987-07-26,team_lotus,senna,\N,,+1 lap,3,15,1.0,1628.2846910959445
1987,8,1987-07-26,mclaren,prost,\N,,electrical,7,6,0.0,1645.5876252521984
1987,8,1987-07-26,ferrari,berger,\N,,turbo,16,0,1.0,1566.757061993868
1987,9,1987-08-09,team_lotus,senna,+37.727,7204520.0,finished,2,18,1.0,1640.034792247317
1987,9,1987-08-09,mclaren,prost,+1:27.456,7254249.0,finished,3,15,1.0,1659.7032237470728
1987,9,1987-08-09,ferrari,berger,\N,,differential,24,0,0.0,1550.6917412508594
1987,10,1987-08-16,team_lotus,senna,\N,,+2 laps,5,10,1.0,1650.9400451399392
1987,10,1987-08-16,mclaren,prost,\N,,+2 laps,6,8,1.0,1670.8639326006933
1987,10,1987-08-16,ferrari,berger,\N,,turbo,22,0,0.0,1536.83333312111
1987,11,1987-09-06,team_lotus,senna,+1.806,4489513.0,finished,2,18,1.0,1661.1337910088102
1987,11,1987-09-06,ferrari,berger,+57.979,4545686.0,finished,4,12,1.0,1558.9106221174977
1987,11,1987-09-06,mclaren,prost,\N,,+4 laps,15,0,0.0,1646.8658132441055
1987,12,1987-09-20,mclaren,prost,1:37:03.906,5823906.0,finished,1,25,1.0,1660.3465318034762
1987,12,1987-09-20,ferrari,berger,+20.493,5844399.0,finished,2,18,1.0,1578.5341894447943
1987,12,1987-09-20,team_lotus,senna,\N,,+2 laps,7,6,1.0,1669.1233664563053
1987,13,1987-09-27,mclaren,prost,+22.225,6574917.0,finished,2,18,1.0,1671.940248908786
1987,13,1987-09-27,team_lotus,senna,+1:13.507,6626199.0,finished,5,10,1.0,1677.6347202669588
1987,13,1987-09-27,ferrari,berger,\N,,engine,17,0,0.0,1562.0145763942483
1987,14,1987-10-18,team_lotus,senna,\N,,spun off,10,1,1.0,1686.393452111213
1987,14,1987-10-18,ferrari,berger,\N,,turbo,18,0,1.0,1579.7481373575301
1987,14,1987-10-18,mclaren,prost,\N,,collision,26,0,0.0,1650.4041975746559
1987,15,1987-11-01,ferrari,berger,1:32:58.072,5578072.0,finished,1,25,1.0,1596.2659584129249
1987,15,1987-11-01,team_lotus,senna,+17.384,5595456.0,finished,2,18,1.0,1693.5162461776838
1987,15,1987-11-01,mclaren,prost,\N,,+1 lap,7,6,0.0,1630.440475492072
1987,16,1987-11-15,ferrari,berger,1:52:56.144,6776144.0,finished,1,25,1.0,1610.6902639885982
1987,16,1987-11-15,team_lotus,senna,\N,,disqualified,10,1,1.0,1701.5824054938412
1987,16,1987-11-15,mclaren,prost,\N,,brakes,13,0,1.0,1645.8688089640016
1988,1,1988-04-03,mclaren,prost,1:36:06.857,5766857.0,finished,1,25,1.0,1669.238557554878
1988,1,1988-04-03,ferrari,berger,+9.873,5776730.0,finished,2,18,1.0,1623.962115327993
1988,1,1988-04-03,mclaren,senna,\N,,disqualified,17,0,0.0,1682.2126569029647
1988,2,1988-05-01,mclaren,senna,1:32:41.264,5561264.0,finished,1,25,1.0,1699.7422568058485
1988,2,1988-05-01,mclaren,prost,+2.334,5563598.0,finished,2,18,0.0,1655.7089576519943
1988,2,1988-05-01,ferrari,berger,\N,,+1 lap,5,10,1.0,1637.4673946353785
1988,3,1988-05-15,mclaren,prost,1:57:17.077,7037077.0,finished,1,25,1.0,1678.3872570541687
1988,3,1988-05-15,ferrari,berger,+20.453,7057530.0,finished,2,18,1.0,1648.0180840042517
1988,3,1988-05-15,mclaren,senna,\N,,spun off,11,0,0.0,1681.063957403674
1988,4,1988-05-29,mclaren,prost,1:30:15.737,5415737.0,finished,1,25,1.0,1696.8771881442015
1988,4,1988-05-29,mclaren,senna,+7.104,5422841.0,finished,2,18,0.0,1666.5740263136413
1988,4,1988-05-29,ferrari,berger,+57.314,5473051.0,finished,3,15,1.0,1657.8236934926945
1988,5,1988-06-12,mclaren,senna,1:39:46.618,5986618.0,finished,1,25,1.0,1686.7519477852125
1988,5,1988-06-12,mclaren,prost,+5.934,5992552.0,finished,2,18,0.0,1680.6992666726303
1988,5,1988-06-12,ferrari,berger,\N,,electrical,23,0,0.0,1634.735727618212
1988,6,1988-06-19,mclaren,senna,1:54:56.035,6896035.0,finished,1,25,1.0,1704.7059476512497
1988,6,1988-06-19,mclaren,prost,+38.713,6934748.0,finished,2,18,0.0,1666.745266806593
1988,6,1988-06-19,ferrari,berger,\N,,puncture,25,0,0.0,1613.9589973242134
1988,7,1988-07-03,mclaren,prost,1:37:37.328,5857328.0,finished,1,25,1.0,1687.3853699383649
1988,7,1988-07-03,mclaren,senna,+31.752,5889080.0,finished,2,18,0.0,1688.0658445194779
1988,7,1988-07-03,ferrari,berger,\N,,+1 lap,4,12,0.0,1595.4119810725256
1988,8,1988-07-10,mclaren,senna,1:33:16.367,5596367.0,finished,1,25,1.0,1708.0240619310798
1988,8,1988-07-10,ferrari,berger,\N,,+1 lap,9,2,1.0,1613.5093010197536
1988,8,1988-07-10,mclaren,prost,\N,,handling,22,0,0.0,1671.427152526763
1988,9,1988-07-24,mclaren,senna,1:32:54.188,5574188.0,finished,1,25,1.0,1724.1171693189392
1988,9,1988-07-24,mclaren,prost,+13.609,5587797.0,finished,2,18,0.0,1659.3340451389035
1988,9,1988-07-24,ferrari,berger,+52.095,5626283.0,finished,3,15,1.0,1627.917766908147
1988,10,1988-08-07,mclaren,senna,1:57:47.081,7067081.0,finished,1,25,1.0,1738.5448985285307
1988,10,1988-08-07,mclaren,prost,+0.529,7067610.0,finished,2,18,0.0,1648.906315929312
1988,10,1988-08-07,ferrari,berger,+1:28.670,7155751.0,finished,4,12,1.0,1642.7028133459278
1988,11,1988-08-28,mclaren,senna,1:28:00.549,5280549.0,finished,1,25,1.0,1751.573769090567
1988,11,1988-08-28,mclaren,prost,+30.470,5311019.0,finished,2,18,0.0,1639.8774453672756
1988,11,1988-08-28,ferrari,berger,\N,,injection,23,0,0.0,1622.1322950638084
1988,12,1988-09-11,ferrari,berger,1:17:39.744,4659744.0,finished,1,25,1.0,1636.3417972752654
1988,12,1988-09-11,mclaren,senna,\N,,collision,10,1,1.0,1765.1066829908175
1988,12,1988-09-11,mclaren,prost,\N,,engine,14,0,0.0,1630.3445314670253
1988,13,1988-09-25,mclaren,prost,1:37:40.958,5860958.0,finished,1,25,1.0,1656.9830262421578
1988,13,1988-09-25,mclaren,senna,+1:18.269,5939227.0,finished,6,8,0.0,1742.468188215685
1988,13,1988-09-25,ferrari,berger,\N,,spun off,17,0,0.0,1614.8624195268544
1988,14,1988-10-02,mclaren,prost,1:48:43.851,6523851.0,finished,1,25,1.0,1680.754173966568
1988,14,1988-10-02,mclaren,senna,+46.710,6570561.0,finished,4,12,0.0,1722.6970404912747
1988,14,1988-10-02,ferrari,berger,+51.813,6575664.0,finished,6,8,1.0,1632.0647915565708
1988,15,1988-10-30,mclaren,senna,1:33:26.173,5606173.0,finished,1,25,1.0,1738.4692482168407
1988,15,1988-10-30,mclaren,prost,+13.363,5619536.0,finished,2,18,0.0,1668.981966241002
1988,15,1988-10-30,ferrari,berger,+1:26.714,5692887.0,finished,4,12,1.0,1647.5013536743454
1988,16,1988-11-13,mclaren,prost,1:53:14.676,6794676.0,finished,1,25,1.0,1691.475884206101
1988,16,1988-11-13,mclaren,senna,+36.387,6831063.0,finished,2,18,0.0,1719.9753302517415
